sample_ID,SGD_dil,SGD_number,weight_g,volume_mL,SA_cm2,salinity ,pH,DO,temp,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL
Cabral_Col5_Dil1_Light,1,0,1,15,1,,,,,3.38,,,
Cabral_Col5_Dil2_Light,2,0.01,1,12,1,,,,,3.49,,,
Cabral_Col5_Dil3_Light,3,0.03,1,12,1,,,,,4.11,,,
Cabral_Col5_Dil4_Light,4,0.05,1,22,1,,,,,3.13,,,
Cabral_Col5_Dil5_Light,5,0.1,1,10,1,,,,,5.23,,,
Cabral_Col5_Dil6_Light,6,0.5,1,10,1,,,,,6.59,,,
Cabral_Col5_Dil7_Light,7,1,1,13,1,,,,,8.39,,,
Cabral_Col5_Dil8_Light,8,2,1,13,1,,,,,15.42,,,
Cabral_Col5_Dil9_Light,9,4,1,12,1,,,,,24.72,,,
Cabral_Col5_Dil1_Dark,1,0,1,15,1,,,,,3.38,,,
Cabral_Col5_Dil2_Dark,2,0.01,1,12,1,,,,,3.49,,,
Cabral_Col5_Dil3_Dark,3,0.03,1,12,1,,,,,4.11,,,
Cabral_Col5_Dil4_Dark,4,0.05,1,22,1,,,,,3.13,,,
Cabral_Col5_Dil5_Dark,5,0.1,1,10,1,,,,,5.23,,,
Cabral_Col5_Dil6_Dark,6,0.5,1,10,1,,,,,6.59,,,
Cabral_Col5_Dil7_Dark,7,1,1,13,1,,,,,8.39,,,
Cabral_Col5_Dil8_Dark,8,2,1,13,1,,,,,15.42,,,
Cabral_Col5_Dil9_Dark,9,4,1,12,1,,,,,24.72,,,
Cabral_Col6_Dil1_Light,1,0,1,20,1,,,,,3.38,,,
Cabral_Col6_Dil2_Light,2,0.01,1,12,1,,,,,3.49,,,
Cabral_Col6_Dil3_Light,3,0.03,1,20,1,,,,,4.11,,,
Cabral_Col6_Dil4_Light,4,0.05,1,12,1,,,,,3.13,,,
Cabral_Col6_Dil5_Light,5,0.1,1,25,1,,,,,5.23,,,
Cabral_Col6_Dil6_Light,6,0.5,1,22,1,,,,,6.59,,,
Cabral_Col6_Dil7_Light,7,1,1,18,1,,,,,8.39,,,
Cabral_Col6_Dil8_Light,8,2,1,12,1,,,,,15.42,,,
Cabral_Col6_Dil9_Light,9,4,1,14,1,,,,,24.72,,,
Cabral_Col6_Dil1_Dark,1,0,1,20,1,,,,,3.38,,,
Cabral_Col6_Dil2_Dark,2,0.01,1,12,1,,,,,3.49,,,
Cabral_Col6_Dil3_Dark,3,0.03,1,20,1,,,,,4.11,,,
Cabral_Col6_Dil4_Dark,4,0.05,1,12,1,,,,,3.13,,,
Cabral_Col6_Dil5_Dark,5,0.1,1,25,1,,,,,5.23,,,
Cabral_Col6_Dil6_Dark,6,0.5,1,22,1,,,,,6.59,,,
Cabral_Col6_Dil7_Dark,7,1,1,18,1,,,,,8.39,,,
Cabral_Col6_Dil8_Dark,8,2,1,12,1,,,,,15.42,,,
Cabral_Col6_Dil9_Dark,9,4,1,14,1,,,,,24.72,,,
Cabral_Blank_Dil1_Light_Day3,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Light_Day3,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Light_Day3,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Light_Day3,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Light_Day3,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Light_Day3,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Light_Day3,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Light_Day3,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Light_Day3,9,4,1,0,1,,,,,,,,
Cabral_Blank_Dil1_Dark_Day3,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Dark_Day3,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Dark_Day3,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Dark_Day3,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Dark_Day3,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Dark_Day3,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Dark_Day3,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Dark_Day3,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Dark_Day3,9,4,1,0,1,,,,,,,,
Cabral_Col7_Dil1_Light,1,0,1,10,1,,,,,,,,
Cabral_Col7_Dil2_Light,2,0.01,1,8,1,,,,,,,,
Cabral_Col7_Dil3_Light,3,0.03,1,11,1,,,,,,,,
Cabral_Col7_Dil4_Light,4,0.05,1,13,1,,,,,,,,
Cabral_Col7_Dil5_Light,5,0.1,1,14,1,,,,,,,,
Cabral_Col7_Dil6_Light,6,0.5,1,10,1,,,,,,,,
Cabral_Col7_Dil7_Light,7,1,1,10,1,,,,,,,,
Cabral_Col7_Dil8_Light,8,2,1,14,1,,,,,,,,
Cabral_Col7_Dil9_Light,9,4,1,12,1,,,,,,,,
Cabral_Col7_Dil1_Dark,1,0,1,10,1,,,,,,,,
Cabral_Col7_Dil2_Dark,2,0.01,1,8,1,,,,,,,,
Cabral_Col7_Dil3_Dark,3,0.03,1,11,1,,,,,,,,
Cabral_Col7_Dil4_Dark,4,0.05,1,13,1,,,,,,,,
Cabral_Col7_Dil5_Dark,5,0.1,1,14,1,,,,,,,,
Cabral_Col7_Dil6_Dark,6,0.5,1,10,1,,,,,,,,
Cabral_Col7_Dil7_Dark,7,1,1,10,1,,,,,,,,
Cabral_Col7_Dil8_Dark,8,2,1,14,1,,,,,,,,
Cabral_Col7_Dil9_Dark,9,4,1,12,1,,,,,,,,
Cabral_Col8_Dil1_Light,1,0,1,12,1,,,,,,,,
Cabral_Col8_Dil2_Light,2,0.01,1,13,1,,,,,,,,
Cabral_Col8_Dil3_Light,3,0.03,1,11,1,,,,,,,,
Cabral_Col8_Dil4_Light,4,0.05,1,14,1,,,,,,,,
Cabral_Col8_Dil5_Light,5,0.1,1,12,1,,,,,,,,
Cabral_Col8_Dil6_Light,6,0.5,1,8,1,,,,,,,,
Cabral_Col8_Dil7_Light,7,1,1,13,1,,,,,,,,
Cabral_Col8_Dil8_Light,8,2,1,14,1,,,,,,,,
Cabral_Col8_Dil9_Light,9,4,1,8,1,,,,,,,,
Cabral_Col8_Dil1_Dark,1,0,1,12,1,,,,,,,,
Cabral_Col8_Dil2_Dark,2,0.01,1,13,1,,,,,,,,
Cabral_Col8_Dil3_Dark,3,0.03,1,11,1,,,,,,,,
Cabral_Col8_Dil4_Dark,4,0.05,1,14,1,,,,,,,,
Cabral_Col8_Dil5_Dark,5,0.1,1,12,1,,,,,,,,
Cabral_Col8_Dil6_Dark,6,0.5,1,8,1,,,,,,,,
Cabral_Col8_Dil7_Dark,7,1,1,13,1,,,,,,,,
Cabral_Col8_Dil8_Dark,8,2,1,14,1,,,,,,,,
Cabral_Col8_Dil9_Dark,9,4,1,8,1,,,,,,,,
Cabral_Blank_Dil1_Light_Day4,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Light_Day4,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Light_Day4,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Light_Day4,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Light_Day4,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Light_Day4,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Light_Day4,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Light_Day4,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Light_Day4,9,4,1,0,1,,,,,,,,
Cabral_Blank_Dil1_Dark_Day4,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Dark_Day4,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Dark_Day4,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Dark_Day4,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Dark_Day4,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Dark_Day4,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Dark_Day4,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Dark_Day4,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Dark_Day4,9,4,1,0,1,,,,,,,,
Cabral_Col9_Dil1_Light,1,0,1,10,1,,,,,,,,
Cabral_Col9_Dil2_Light,2,0.01,1,16,1,,,,,,,,
Cabral_Col9_Dil3_Light,3,0.03,1,10,1,,,,,,,,
Cabral_Col9_Dil4_Light,4,0.05,1,2,1,,,,,,,,
Cabral_Col9_Dil5_Light,5,0.1,1,10,1,,,,,,,,
Cabral_Col9_Dil6_Light,6,0.5,1,11,1,,,,,,,,
Cabral_Col9_Dil7_Light,7,1,1,9,1,,,,,,,,
Cabral_Col9_Dil8_Light,8,2,1,12,1,,,,,,,,
Cabral_Col9_Dil9_Light,9,4,1,5,1,,,,,,,,
Cabral_Col9_Dil1_Dark,1,0,1,10,1,,,,,,,,
Cabral_Col9_Dil2_Dark,2,0.01,1,16,1,,,,,,,,
Cabral_Col9_Dil3_Dark,3,0.03,1,10,1,,,,,,,,
Cabral_Col9_Dil4_Dark,4,0.05,1,2,1,,,,,,,,
Cabral_Col9_Dil5_Dark,5,0.1,1,10,1,,,,,,,,
Cabral_Col9_Dil6_Dark,6,0.5,1,11,1,,,,,,,,
Cabral_Col9_Dil7_Dark,7,1,1,9,1,,,,,,,,
Cabral_Col9_Dil8_Dark,8,2,1,12,1,,,,,,,,
Cabral_Col9_Dil9_Dark,9,4,1,5,1,,,,,,,,
Cabral_Col10_Dil1_Light,1,0,1,8,1,,,,,,,,
Cabral_Col10_Dil2_Light,2,0.01,1,7,1,,,,,,,,
Cabral_Col10_Dil3_Light,3,0.03,1,12,1,,,,,,,,
Cabral_Col10_Dil4_Light,4,0.05,1,12,1,,,,,,,,
Cabral_Col10_Dil5_Light,5,0.1,1,7,1,,,,,,,,
Cabral_Col10_Dil6_Light,6,0.5,1,11,1,,,,,,,,
Cabral_Col10_Dil7_Light,7,1,1,11,1,,,,,,,,
Cabral_Col10_Dil8_Light,8,2,1,9,1,,,,,,,,
Cabral_Col10_Dil9_Light,9,4,1,4,1,,,,,,,,
Cabral_Col10_Dil1_Dark,1,0,1,8,1,,,,,,,,
Cabral_Col10_Dil2_Dark,2,0.01,1,7,1,,,,,,,,
Cabral_Col10_Dil3_Dark,3,0.03,1,12,1,,,,,,,,
Cabral_Col10_Dil4_Dark,4,0.05,1,12,1,,,,,,,,
Cabral_Col10_Dil5_Dark,5,0.1,1,7,1,,,,,,,,
Cabral_Col10_Dil6_Dark,6,0.5,1,11,1,,,,,,,,
Cabral_Col10_Dil7_Dark,7,1,1,11,1,,,,,,,,
Cabral_Col10_Dil8_Dark,8,2,1,9,1,,,,,,,,
Cabral_Col10_Dil9_Dark,9,4,1,4,1,,,,,,,,
Cabral_Blank_Dil1_Light_Day5,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Light_Day5,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Light_Day5,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Light_Day5,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Light_Day5,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Light_Day5,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Light_Day5,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Light_Day5,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Light_Day5,9,4,1,0,1,,,,,,,,
Cabral_Blank_Dil1_Dark_Day5,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Dark_Day5,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Dark_Day5,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Dark_Day5,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Dark_Day5,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Dark_Day5,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Dark_Day5,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Dark_Day5,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Dark_Day5,9,4,1,0,1,,,,,,,,
Cabral_Col11_Dil1_Light,1,0,1,9,1,,,,,3.21,,,
Cabral_Col11_Dil2_Light,2,0.01,1,4,1,,,,,3.71,,,
Cabral_Col11_Dil3_Light,3,0.03,1,12,1,,,,,3.36,,,
Cabral_Col11_Dil4_Light,4,0.05,1,12,1,,,,,2.54,,,
Cabral_Col11_Dil5_Light,5,0.1,1,11,1,,,,,3.24,,,
Cabral_Col11_Dil6_Light,6,0.5,1,12,1,,,,,4.69,,,
Cabral_Col11_Dil7_Light,7,1,1,12,1,,,,,8.92,,,
Cabral_Col11_Dil8_Light,8,2,1,10,1,,,,,14.8,,,
Cabral_Col11_Dil9_Light,9,4,1,13,1,,,,,25.59,,,
Cabral_Col11_Dil1_Dark,1,0,1,9,1,,,,,3.21,,,
Cabral_Col11_Dil2_Dark,2,0.01,1,4,1,,,,,3.71,,,
Cabral_Col11_Dil3_Dark,3,0.03,1,12,1,,,,,3.36,,,
Cabral_Col11_Dil4_Dark,4,0.05,1,12,1,,,,,2.54,,,
Cabral_Col11_Dil5_Dark,5,0.1,1,11,1,,,,,3.24,,,
Cabral_Col11_Dil6_Dark,6,0.5,1,12,1,,,,,4.69,,,
Cabral_Col11_Dil7_Dark,7,1,1,12,1,,,,,8.92,,,
Cabral_Col11_Dil8_Dark,8,2,1,10,1,,,,,14.8,,,
Cabral_Col11_Dil9_Dark,9,4,1,13,1,,,,,25.59,,,
Cabral_Col12_Dil1_Light,1,0,1,3,1,,,,,3.21,,,
Cabral_Col12_Dil2_Light,2,0.01,1,1,1,,,,,3.71,,,
Cabral_Col12_Dil3_Light,3,0.03,1,11,1,,,,,3.36,,,
Cabral_Col12_Dil4_Light,4,0.05,1,10,1,,,,,2.54,,,
Cabral_Col12_Dil5_Light,5,0.1,1,9,1,,,,,3.24,,,
Cabral_Col12_Dil6_Light,6,0.5,1,4,1,,,,,4.69,,,
Cabral_Col12_Dil7_Light,7,1,1,11,1,,,,,8.92,,,
Cabral_Col12_Dil8_Light,8,2,1,13,1,,,,,14.8,,,
Cabral_Col12_Dil9_Light,9,4,1,11,1,,,,,25.59,,,
Cabral_Col12_Dil1_Dark,1,0,1,3,1,,,,,3.21,,,
Cabral_Col12_Dil2_Dark,2,0.01,1,1,1,,,,,3.71,,,
Cabral_Col12_Dil3_Dark,3,0.03,1,11,1,,,,,3.36,,,
Cabral_Col12_Dil4_Dark,4,0.05,1,10,1,,,,,2.54,,,
Cabral_Col12_Dil5_Dark,5,0.1,1,9,1,,,,,3.24,,,
Cabral_Col12_Dil6_Dark,6,0.5,1,4,1,,,,,4.69,,,
Cabral_Col12_Dil7_Dark,7,1,1,11,1,,,,,8.92,,,
Cabral_Col12_Dil8_Dark,8,2,1,13,1,,,,,14.8,,,
Cabral_Col12_Dil9_Dark,9,4,1,11,1,,,,,25.59,,,
Cabral_Blank_Dil1_Light_Day6,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Light_Day6,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Light_Day6,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Light_Day6,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Light_Day6,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Light_Day6,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Light_Day6,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Light_Day6,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Light_Day6,9,4,1,0,1,,,,,,,,
Cabral_Blank_Dil1_Dark_Day6,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Dark_Day6,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Dark_Day6,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Dark_Day6,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Dark_Day6,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Dark_Day6,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Dark_Day6,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Dark_Day6,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Dark_Day6,9,4,1,0,1,,,,,,,,