new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,TrisCalDate,SGD_dil,temp_C,new_pH
13,8.14,Cabral_Col5_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.374503811,0.313661881,0.05,3.38,0.16,0.52,6/14/23,1,27.11,7.966742367
14,8.14,Cabral_Col6_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.471963898,0.396486808,0.05,3.38,0.16,0.52,6/14/23,1,27.11,7.966742367
15,8.09,Cabral_Col7_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.467784968,0.413819533,0.03,4.24,0.54,21.41,6/14/23,1,27.436,8.012209319
16,8.09,Cabral_Col8_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.422326708,0.38593518,0.03,4.24,0.54,21.41,6/14/23,1,27.436,8.012209319
18,8.06,Cabral_Col10_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.468053829,0.441552607,0.03,2.58,0.23,0.16,6/14/23,1,28.172,7.976166127
17,8.06,Cabral_Col9_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.43692549,0.410711405,0.03,2.58,0.23,0.16,6/14/23,1,28.172,7.976166127
1,8.06,Varari_Col1_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.369581793,0.279429969,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177
2,8.06,Varari_Col2_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.535926764,0.447387632,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177
3,8.06,Varari_Col3_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.567887303,0.511837977,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177
4,8.09,Varari_Col4_Dil1_Light,0,Varari,36.4,6/18/23,LIGHT,NP,0.283526964,0.25317391,0.05,3.63,0.99,1.49,6/14/23,1,28.695,8.012340938
6,8.09,Varari_Col6_Dil1_Light,0,Varari,36.4,6/21/23,LIGHT,NP,0.740028239,0.601528804,0.1,2.27,0.48,6.9,6/14/23,1,29.092,8.00330754
7,8.08,Varari_Col7_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.509173651,0.461445007,0.03,2.45,0.6,4.44,6/14/23,1,28.503,8.003403586
8,8.08,Varari_Col8_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.429093387,0.394074252,0.03,2.45,0.6,4.44,6/14/23,1,28.503,8.003403586
13,8.05,Cabral_Col5_Dil2_Light,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.355360626,0.314622678,0.05,3.49,1.04,0.57,6/14/23,2,27.224,7.969949566
14,8.05,Cabral_Col6_Dil2_Light,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.483220461,0.452782456,0.05,3.49,1.04,0.57,6/14/23,2,27.224,7.969949566
15,8.09,Cabral_Col7_Dil2_Light,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.385668716,0.351470259,0.03,3.04,1.02,17.21,6/14/23,2,27.345,8.008691364
16,8.09,Cabral_Col8_Dil2_Light,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.413612875,0.391839424,0.03,3.04,1.02,17.21,6/14/23,2,27.345,8.008691364
18,8.08,Cabral_Col10_Dil2_Light,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.46294076,0.397618195,0.03,2.98,0.07,<0.02,6/14/23,2,27.982,7.991198619
17,8.08,Cabral_Col9_Dil2_Light,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.56579967,0.485046896,0.03,2.98,0.07,<0.02,6/14/23,2,27.982,7.991198619
1,8.09,Varari_Col1_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.45151527,0.405453516,0.06,4.51,4.67,4.07,6/14/23,2,27.764,8.021108644
2,8.09,Varari_Col2_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.478156832,0.426818299,0.06,4.51,4.67,4.07,6/14/23,2,27.764,8.021108644
3,8.09,Varari_Col3_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.473132983,0.448141994,0.06,4.51,4.67,4.07,6/14/23,2,27.764,8.021108644
4,8.01,Varari_Col4_Dil2_Light,0.01,Varari,36.7,6/18/23,LIGHT,NP,0.288550064,0.273938655,0.07,3.65,3.26,3.59,6/14/23,2,28.644,7.926842749
5,8.11,Varari_Col5_Dil2_Light,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.312219543,0.239217348,0.04,1.78,0.52,1.77,6/14/23,2,29.187,8.025282823
6,8.11,Varari_Col6_Dil2_Light,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.705235194,0.618488825,0.04,1.78,0.52,1.77,6/14/23,2,29.187,8.025282823
7,8.05,Varari_Col7_Dil2_Light,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.51793649,0.473624654,0.06,2.55,0.72,1.64,6/14/23,2,27.7,7.981415001
8,8.05,Varari_Col8_Dil2_Light,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.417207919,0.378259561,0.06,2.55,0.72,1.64,6/14/23,2,27.7,7.981415001
13,8.07,Cabral_Col5_Dil3_Light,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.347876683,0.326630747,0.04,4.11,0.28,0.7,6/14/23,3,26.984,7.998755982
14,8.07,Cabral_Col6_Dil3_Light,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.387072463,0.373187314,0.04,4.11,0.28,0.7,6/14/23,3,26.984,7.998755982
15,8.08,Cabral_Col7_Dil3_Light,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.400264429,0.377259279,0.04,5.16,1.78,2.98,6/14/23,3,27.68,8.000333893
16,8.08,Cabral_Col8_Dil3_Light,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.282907334,0.264449508,0.04,5.16,1.78,2.98,6/14/23,3,27.68,8.000333893
18,8.05,Cabral_Col10_Dil3_Light,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.278678271,0.249378065,0.07,3.15,0.8,6.67,6/14/23,3,28.395,7.963168175
17,8.05,Cabral_Col9_Dil3_Light,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.638819376,0.595492414,0.07,3.15,0.8,6.67,6/14/23,3,28.395,7.963168175
1,8.07,Varari_Col1_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.260825531,0.235534481,0.07,4.53,3.03,4.95,6/14/23,3,27.81,8.002025445
2,8.07,Varari_Col2_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.397421245,0.353271917,0.07,4.53,3.03,4.95,6/14/23,3,27.81,8.002025445
3,8.07,Varari_Col3_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.26468585,0.224052606,0.07,4.53,3.03,4.95,6/14/23,3,27.81,8.002025445
4,8.06,Varari_Col4_Dil3_Light,0.03,Varari,36.7,6/18/23,LIGHT,NP,0.126648216,0.116804714,0.03,3.14,2.63,0.52,6/14/23,3,28.724,7.974131193
5,8.12,Varari_Col5_Dil3_Light,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.331510334,0.299027514,0.04,1.93,1.79,7.35,6/14/23,3,29.115,8.032791308
6,8.12,Varari_Col6_Dil3_Light,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.499724251,0.465985177,0.04,1.93,1.79,7.35,6/14/23,3,29.115,8.032791308
7,8.1,Varari_Col7_Dil3_Light,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.311256861,0.287789783,0.11,2.39,0.83,1.67,6/14/23,3,28.492,8.023610541
8,8.1,Varari_Col8_Dil3_Light,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.335986956,0.319350499,0.11,2.39,0.83,1.67,6/14/23,3,28.492,8.023610541
13,8.06,Cabral_Col5_Dil4_Light,0.05,Cabral,36.5,6/10/23,LIGHT,NP,0.34352198,0.325593506,0.05,3.13,3.25,0.76,6/14/23,4,27.108,7.985024902
14,8.06,Cabral_Col6_Dil4_Light,0.05,Cabral,36.5,6/10/23,LIGHT,NP,0.472283233,0.443948122,0.05,3.13,3.25,0.76,6/14/23,4,27.108,7.985024902
15,8.06,Cabral_Col7_Dil4_Light,0.05,Cabral,36.5,6/11/23,LIGHT,NP,0.328958192,0.305966739,0.03,3.79,0.14,0.86,6/14/23,4,27.788,7.977017858
16,8.06,Cabral_Col8_Dil4_Light,0.05,Cabral,36.5,6/11/23,LIGHT,NP,0.452813686,0.436740853,0.03,3.79,0.14,0.86,6/14/23,4,27.788,7.977017858
18,8.09,Cabral_Col10_Dil4_Light,0.05,Cabral,36.6,6/12/23,LIGHT,NP,0.380327116,0.343990589,0.04,4.14,0.86,2.16,6/14/23,4,28.219,8.002864299
17,8.09,Cabral_Col9_Dil4_Light,0.05,Cabral,36.6,6/12/23,LIGHT,NP,0.680744509,0.612158368,0.04,4.14,0.86,2.16,6/14/23,4,28.219,8.002864299
1,8.06,Varari_Col1_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.477537247,0.451046625,0.08,4.82,1.87,3.32,6/14/23,4,27.795,7.98863231
2,8.06,Varari_Col2_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.690244194,0.659719101,0.08,4.82,1.87,3.32,6/14/23,4,27.795,7.98863231
3,8.06,Varari_Col3_Dil4_Light,0.05,Varari,37.3,6/17/23,LIGHT,NP,0.356755232,0.331427543,0.08,4.82,1.87,3.32,6/14/23,4,27.795,7.98863231
4,8.06,Varari_Col4_Dil4_Light,0.05,Varari,36.5,6/18/23,LIGHT,NP,Inf,Inf,0.06,2.89,1.63,0.79,6/14/23,4,28.809,7.977524233
5,8.11,Varari_Col5_Dil4_Light,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.469099694,0.386572428,0.04,1.86,0.28,0.22,6/14/23,4,29.11,8.024526644
6,8.11,Varari_Col6_Dil4_Light,0.05,Varari,36.3,6/21/23,LIGHT,NP,0.994650162,0.891498714,0.04,1.86,0.28,0.22,6/14/23,4,29.11,8.024526644
7,8.1,Varari_Col7_Dil4_Light,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.519037858,0.478414151,0.06,2.24,0.47,2.25,6/14/23,4,27.717,8.029750313
8,8.1,Varari_Col8_Dil4_Light,0.05,Varari,36.4,6/22/23,LIGHT,NP,0.46272097,0.422394357,0.06,2.24,0.47,2.25,6/14/23,4,27.717,8.029750313
13,8.07,Cabral_Col5_Dil5_Light,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.422961618,0.402560499,0.06,5.23,0.17,0.43,6/14/23,5,27.058,7.995809965
14,8.07,Cabral_Col6_Dil5_Light,0.1,Cabral,36.5,6/10/23,LIGHT,NP,0.475763225,0.464603164,0.06,5.23,0.17,0.43,6/14/23,5,27.058,7.995809965
15,8.06,Cabral_Col7_Dil5_Light,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.457284186,0.441371851,0.03,4.33,0.45,0.95,6/14/23,5,27.779,7.973796473
16,8.06,Cabral_Col8_Dil5_Light,0.1,Cabral,36.5,6/11/23,LIGHT,NP,0.368456676,0.349739454,0.03,4.33,0.45,0.95,6/14/23,5,27.779,7.973796473
18,8.1,Cabral_Col10_Dil5_Light,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.523334844,0.490810731,0.04,3.67,0.51,12.78,6/14/23,5,28.251,8.007015023
17,8.1,Cabral_Col9_Dil5_Light,0.1,Cabral,36.4,6/12/23,LIGHT,NP,0.472646366,0.444020213,0.04,3.67,0.51,12.78,6/14/23,5,28.251,8.007015023
1,8.07,Varari_Col1_Dil5_Light,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.438438249,0.410390278,0.05,5.27,2.5,6.31,6/14/23,5,27.816,7.996704636
2,8.07,Varari_Col2_Dil5_Light,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.698352919,0.653671746,0.05,5.27,2.5,6.31,6/14/23,5,27.816,7.996704636
3,8.07,Varari_Col3_Dil5_Light,0.1,Varari,37.3,6/17/23,LIGHT,NP,0.550807204,0.526952765,0.05,5.27,2.5,6.31,6/14/23,5,27.816,7.996704636
4,8.07,Varari_Col4_Dil5_Light,0.1,Varari,36.6,6/18/23,LIGHT,NP,0.226158477,0.211915521,0.03,3.33,3.14,4.89,6/14/23,5,28.728,7.983888717
5,8.12,Varari_Col5_Dil5_Light,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.256175407,0.200019688,0.27,2.63,1.32,9.69,6/14/23,5,29.156,8.028865456
6,8.12,Varari_Col6_Dil5_Light,0.1,Varari,36.3,6/21/23,LIGHT,NP,0.625787854,0.587109423,0.27,2.63,1.32,9.69,6/14/23,5,29.156,8.028865456
7,8.11,Varari_Col7_Dil5_Light,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.447650056,0.421011033,0.05,2.68,0.7,3.11,6/14/23,5,27.629,8.036250694
8,8.11,Varari_Col8_Dil5_Light,0.1,Varari,36.5,6/22/23,LIGHT,NP,0.318526938,0.294464313,0.05,2.68,0.7,3.11,6/14/23,5,27.629,8.036250694
13,8.07,Cabral_Col5_Dil6_Light,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.397773822,0.371118796,0.13,6.59,0.4,2,6/14/23,6,27.294,7.992232149
14,8.07,Cabral_Col6_Dil6_Light,0.5,Cabral,36.4,6/10/23,LIGHT,NP,0.273577685,0.263538466,0.13,6.59,0.4,2,6/14/23,6,27.294,7.992232149
15,8.09,Cabral_Col7_Dil6_Light,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.26544242,0.245668802,0.04,6.59,0.6,8.48,6/14/23,6,27.685,8.009902878
16,8.09,Cabral_Col8_Dil6_Light,0.5,Cabral,36.3,6/11/23,LIGHT,NP,0.281787922,0.263547833,0.04,6.59,0.6,8.48,6/14/23,6,27.685,8.009902878
18,8.07,Cabral_Col10_Dil6_Light,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.318741514,0.305189097,0.04,6.04,0.37,2.01,6/14/23,6,28.313,7.977503903
17,8.07,Cabral_Col9_Dil6_Light,0.5,Cabral,36.3,6/12/23,LIGHT,NP,0.407470442,0.392475031,0.04,6.04,0.37,2.01,6/14/23,6,28.313,7.977503903
1,8.07,Varari_Col1_Dil6_Light,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.29502768,0.263682362,0.05,7.07,2.23,4.4,6/14/23,6,27.818,7.996255731
2,8.07,Varari_Col2_Dil6_Light,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.429798975,0.406334419,0.05,7.07,2.23,4.4,6/14/23,6,27.818,7.996255731
3,8.07,Varari_Col3_Dil6_Light,0.5,Varari,37.1,6/17/23,LIGHT,NP,0.50687842,0.460744584,0.05,7.07,2.23,4.4,6/14/23,6,27.818,7.996255731
4,8.08,Varari_Col4_Dil6_Light,0.5,Varari,36.5,6/18/23,LIGHT,NP,0.234175305,0.224894904,0.02,4.82,2.84,1.24,6/14/23,6,28.782,7.994600756
5,8.09,Varari_Col5_Dil6_Light,0.5,Varari,36.2,6/21/23,LIGHT,NP,0.272332136,0.250437632,0.05,4.94,0.29,5.38,6/14/23,6,29.155,8.007009687
6,8.09,Varari_Col6_Dil6_Light,0.5,Varari,36.2,6/21/23,LIGHT,NP,0.52117113,0.48029881,0.05,4.94,0.29,5.38,6/14/23,6,29.155,8.007009687
7,8.12,Varari_Col7_Dil6_Light,0.5,Varari,36.3,6/22/23,LIGHT,NP,0.382980712,0.339624115,0.08,5.11,0.76,2.35,6/14/23,6,27.767,8.052272678
8,8.12,Varari_Col8_Dil6_Light,0.5,Varari,36.3,6/22/23,LIGHT,NP,0.105850392,0.094207405,0.08,5.11,0.76,2.35,6/14/23,6,27.767,8.052272678
13,8.06,Cabral_Col5_Dil7_Light,1,Cabral,36.1,6/10/23,LIGHT,NP,0.353505909,0.339493506,0.09,8.39,0.06,0.31,6/14/23,7,27.269,7.983581663
14,8.06,Cabral_Col6_Dil7_Light,1,Cabral,36.1,6/10/23,LIGHT,NP,0.357245174,0.344874408,0.09,8.39,0.06,0.31,6/14/23,7,27.269,7.983581663
15,8.05,Cabral_Col7_Dil7_Light,1,Cabral,36.2,6/11/23,LIGHT,NP,0.549105758,0.532076405,0.05,9.41,0.46,10.63,6/14/23,7,27.602,7.963967371
16,8.05,Cabral_Col8_Dil7_Light,1,Cabral,36.2,6/11/23,LIGHT,NP,0.352656897,0.33937828,0.05,9.41,0.46,10.63,6/14/23,7,27.602,7.963967371
18,8.08,Cabral_Col10_Dil7_Light,1,Cabral,36.1,6/12/23,LIGHT,NP,0.31504016,0.287226196,0.06,9.83,0.31,0.96,6/14/23,7,28.899,7.982119028
17,8.08,Cabral_Col9_Dil7_Light,1,Cabral,36.1,6/12/23,LIGHT,NP,0.405734298,0.34836814,0.06,9.83,0.31,0.96,6/14/23,7,28.899,7.982119028
1,8.06,Varari_Col1_Dil7_Light,1,Varari,37,6/17/23,LIGHT,NP,0.417692644,0.401771951,0.07,10.06,2.58,1.99,6/14/23,7,27.829,7.987516818
2,8.06,Varari_Col2_Dil7_Light,1,Varari,37,6/17/23,LIGHT,NP,0.617191579,0.560799184,0.07,10.06,2.58,1.99,6/14/23,7,27.829,7.987516818
3,8.06,Varari_Col3_Dil7_Light,1,Varari,37,6/17/23,LIGHT,NP,0.338971419,0.305084031,0.07,10.06,2.58,1.99,6/14/23,7,27.829,7.987516818
4,8.1,Varari_Col4_Dil7_Light,1,Varari,36.1,6/18/23,LIGHT,NP,0.303378379,0.288842801,0.04,8.07,1.08,0.48,6/14/23,7,28.788,8.015414786
5,8.09,Varari_Col5_Dil7_Light,1,Varari,36,6/21/23,LIGHT,NP,0.340465377,0.304841334,0.2,5.55,3.05,15.29,6/14/23,7,29.13,8.001972866
6,8.09,Varari_Col6_Dil7_Light,1,Varari,36,6/21/23,LIGHT,NP,0.488366509,0.406683715,0.2,5.55,3.05,15.29,6/14/23,7,29.13,8.001972866
7,8.15,Varari_Col7_Dil7_Light,1,Varari,36,6/22/23,LIGHT,NP,0.438225048,0.401548812,0.08,6.75,0.86,0.98,6/14/23,7,27.83,8.074193563
8,8.15,Varari_Col8_Dil7_Light,1,Varari,36,6/22/23,LIGHT,NP,Inf,Inf,0.08,6.75,0.86,0.98,6/14/23,7,27.83,8.074193563
13,8.07,Cabral_Col5_Dil8_Light,2,Cabral,35.9,6/10/23,LIGHT,NP,0.259070976,0.240789938,0.09,15.42,0.24,0.88,6/14/23,8,26.909,7.998371579
14,8.07,Cabral_Col6_Dil8_Light,2,Cabral,35.9,6/10/23,LIGHT,NP,0.359341136,0.329542036,0.09,15.42,0.24,0.88,6/14/23,8,26.909,7.998371579
15,8.05,Cabral_Col7_Dil8_Light,2,Cabral,35.9,6/11/23,LIGHT,NP,Inf,Inf,0.06,13.9,0.17,23.37,6/14/23,8,27.452,7.965480921
16,8.05,Cabral_Col8_Dil8_Light,2,Cabral,35.9,6/11/23,LIGHT,NP,0.352992878,0.338441603,0.06,13.9,0.17,23.37,6/14/23,8,27.452,7.965480921
18,8.08,Cabral_Col10_Dil8_Light,2,Cabral,35.8,6/12/23,LIGHT,NP,0.381543243,0.358705665,0.04,15.57,0.24,2.42,6/14/23,8,28.199,7.991501772
17,8.08,Cabral_Col9_Dil8_Light,2,Cabral,35.8,6/12/23,LIGHT,NP,0.38629482,0.365006965,0.04,15.57,0.24,2.42,6/14/23,8,28.199,7.991501772
1,8.06,Varari_Col1_Dil8_Light,2,Varari,36.6,6/17/23,LIGHT,NP,0.414356519,0.376227235,0.09,13.55,2.78,3.81,6/14/23,8,27.793,7.9938993
2,8.06,Varari_Col2_Dil8_Light,2,Varari,36.6,6/17/23,LIGHT,NP,0.441078882,0.416831355,0.09,13.55,2.78,3.81,6/14/23,8,27.793,7.9938993
3,8.06,Varari_Col3_Dil8_Light,2,Varari,36.6,6/17/23,LIGHT,NP,0.588041941,0.565660216,0.09,13.55,2.78,3.81,6/14/23,8,27.793,7.9938993
4,8.07,Varari_Col4_Dil8_Light,2,Varari,36,6/18/23,LIGHT,NP,0.258480017,0.23922787,0.07,13.59,3.54,1.73,6/14/23,8,28.741,7.987511582
